replicate,uav_estimate_x_m,uav_estimate_y_m,uav_error_xy_m,target_raw_x_m,target_raw_y_m,target_raw_error_xy_m,target_bias_corrected_x_m,target_bias_corrected_y_m,target_bias_corrected_error_xy_m
13,0.9757603348761155,3.7924422061394494,0.009753762146157894,0.8378049150840942,4.732569587020625,0.1410388325958949,0.9534467116007045,4.8668556381336,0.048496924105114254
14,0.9834854982557604,3.797071135769545,0.00823769623762113,0.7397049664897887,4.732806372515055,0.20706594155360133,0.855346763006399,4.867092423628031,0.05206715749754717
15,0.999311472460873,3.783889049660867,0.015304950052426236,0.85331518763798,4.664202141331149,0.19887328319206196,0.9689569841545903,4.7984881924441245,0.08506623929492012
16,0.9735365589996445,3.8432266122175887,0.05544655274594596,0.7594528584674056,4.738360589147327,0.18802589727838243,0.875094654984016,4.872646640260302,0.03531987874127493
17,0.9718136547994267,3.785257487390609,0.01356617047457786,0.782783005946325,4.778533078064533,0.1456698314663818,0.8984248024629353,4.9128191291775085,0.05743296720058843
18,0.9639295336598266,3.8144730902206248,0.03301240945436495,0.7163950193107979,4.711202270121537,0.2386790189634901,0.8320368158274082,4.845488321234512,0.07489253165880734
19,1.0068153292108277,3.779926218682187,0.023730492824677395,0.7508066523248903,4.6751886749294025,0.23834650956706355,0.8664484488415006,4.809474726042378,0.061129984327396025
20,0.9909890022125674,3.79667038868181,0.009852568483146586,0.7823154283260146,4.733367575510819,0.1742562259257024,0.897957224842625,4.867653626623794,0.014343681357983331
21,0.9826372375258953,3.7766109285960203,0.012539224904917271,0.8396237915809116,4.631255112228708,0.23431689845358258,0.9552655880975219,4.765541163341683,0.10283405593107349
22,0.9399456160758278,3.799900603286761,0.046237360792626976,0.8046999206903254,4.6779799931341906,0.20484895633052394,0.9203417172069357,4.812266044247166,0.045882569859078244
23,0.9961833767104359,3.816275484348622,0.02957563590060679,0.8113442181926257,4.752331047916573,0.14045366649675756,0.926986014709236,4.886617099029548,0.03707672888329847
24,0.9761564472332401,3.782735389397694,0.010700825922056754,0.7358482574050127,4.745001351245465,0.20327697874219722,0.851490053921623,4.8792874023584405,0.059493296805326425
25,0.9831416072779405,3.786757671473919,0.0027903706350813017,0.7900589162599206,4.719624636705797,0.17906363522850605,0.905700712776531,4.8539106878187726,0.0020654608718760044
26,0.9646773797719583,3.7928285452171453,0.020559315899689887,0.7796988940262295,4.685819341634055,0.21197883530432224,0.8953406905428398,4.82010539274703,0.03741984706601843
27,1.000714429599708,3.7665536203713192,0.02743592278113046,0.8913248984786252,4.69372060995206,0.16287496523057446,1.0069666949952354,4.828006661065036,0.10456001274119309
28,1.0074317523153447,3.7509075097075883,0.04423108465854071,0.7847819130927091,4.658861457583429,0.23145714177979326,0.9004237096093194,4.793147508696404,0.06303261172163405
29,0.9870754747873255,3.776435148524506,0.012708323288488782,0.7706229118746546,4.6987611749190865,0.20755345847549034,0.8862647083912649,4.833047226032062,0.030337206072766007
30,0.993282929610273,3.7926242992162376,0.009182438082511096,0.7799708562127573,4.746196920850835,0.1672478110146194,0.8956126527293676,4.8804829719638105,0.02675224095067499
31,0.9942134206178498,3.798276818076466,0.013203429211637996,0.8474637098821769,4.745072882718372,0.1254428282400445,0.9631055063987872,4.879358933831347,0.06154559025692559
32,0.962349457979544,3.802476530571483,0.026268365475371078,0.7703518209969008,4.728148198332319,0.18649143723622272,0.8859936175135111,4.862434249445294,0.021232048737837978
33,1.008314872149316,3.808136513584401,0.030296702617033263,0.8125470435773144,4.727750686191978,0.1587354412587143,0.9281888400939248,4.862036737304954,0.02282511903179652
34,1.0147908541787802,3.8071214308662187,0.035008514767938925,0.8250886136326586,4.694900824990764,0.18029028618872664,0.940730410149269,4.82918687610374,0.0436661899559257
35,1.0409964863286545,3.7694331446093092,0.05942533504535516,0.8379336093138808,4.722139376875729,0.15018717980143786,0.9535754058304912,4.856425427988705,0.047378156601417136
36,1.009589910772081,3.801844311646699,0.02788282431329701,0.7242251414134921,4.773278243157577,0.19985911326916214,0.8398669379301025,4.907564294270553,0.08406982640304395
37,1.0006796000208196,3.7914421668699156,0.016007186812841523,0.8133785196806957,4.70354375256704,0.17841746504627906,0.9290203161973061,4.837829803680015,0.02911764601362219
38,1.0166175528689534,3.787841389427038,0.03176933452564784,0.8310108822819166,4.780239995478934,0.10667752167834434,0.9466526787985269,4.914526046591909,0.07121577406040458
39,0.9705992019016216,3.7966585884397377,0.016217447821126496,0.772666461812151,4.776747820530048,0.15523733855655936,0.8883082583287614,4.911033871643023,0.05795011784855401
40,0.9926002457405446,3.794867209337525,0.009736793135944076,0.7789064233340937,4.752492063255799,0.16401200108627728,0.894548219850704,4.8867781143687745,0.03298942824328755
41,1.002124644232862,3.7887593925148124,0.017258124877010877,0.8186409874970407,4.755794593415333,0.13300622234681164,0.9342827840136511,4.890080644528308,0.04422602506770786
42,0.9856117955466076,3.808182724974972,0.01924691308181744,0.8392233907107374,4.723352142178349,0.14852188142114786,0.9548651872273477,4.857638193291325,0.04869568984664107
43,0.9995262112223289,3.7917299612811783,0.014919875307055698,0.8101377033319894,4.754734561770974,0.13951854498097752,0.9257794998485998,4.889020612883949,0.03846226023652285
44,0.9617654599739363,3.791902135109406,0.02328994570648778,0.7069645108324634,4.72029514160603,0.24101347945571464,0.8226063073490737,4.854581192719006,0.08360433128195512
45,1.0007015945956415,3.7846634381040456,0.016404041480079658,0.7681761052824506,4.771399247697914,0.16184402960296346,0.883817901799061,4.90568529881089,0.05457152694435445
46,0.9799399484924828,3.79810684098639,0.01039833954993353,0.7507178058147637,4.739615527016252,0.19416553602633915,0.866359602331374,4.873901578129227,0.043712447954054365
47,0.9650620579909202,3.753127308718121,0.040933341201389147,0.8548237604345655,4.685147669439602,0.1783282446645669,0.9704655569511759,4.819433720552578,0.07389815828830017
48,0.9655025974151832,3.776806742101412,0.022857515955231947,0.7403397793212441,4.716026028437376,0.21697582216655925,0.8559815758378544,4.850312079550352,0.050530007429198276
49,0.994545778800628,3.783113684541713,0.01130188579926523,0.8114684188560829,4.744169188314013,0.14649633142059654,0.9271102153726932,4.878455239426988,0.030745801277009155
50,0.9652872818095996,3.790179338996502,0.01961883331108091,0.7796459570167527,4.754103478180738,0.162423797851623,0.895287753533363,4.888389529293714,0.03425900006250307
51,0.9820041510275155,3.7966801214323938,0.00824322690545208,0.8686206730031008,4.778348162275966,0.08619050776318232,0.9842624695197111,4.912634213388942,0.09649264419065975
52,0.9760720922375878,3.808450980875175,0.02139253926792661,0.7804430634452075,4.7310120238556435,0.17724427766862788,0.8960848599618179,4.865298074968619,0.01379710659047824
53,0.9688575798692532,3.785407701471415,0.01639723318299971,0.7968209224927432,4.633887123789342,0.24750780426279725,0.9124627190093535,4.7681731749023175,0.08796494104130467
54,1.0003255402963442,3.7933741942578,0.016078569254571243,0.8132254800519748,4.79589185003783,0.11066628718844419,0.9288672765685851,4.930177901150805,0.07764534573945599
55,0.9630433659308456,3.793863773090664,0.022370498721347394,0.8135239355473796,4.794197865529733,0.11134560825804193,0.9291657320639899,4.928483916642708,0.07611627915326499
56,0.9794887232942693,3.806984484699403,0.018819331994700438,0.7851183714422095,4.82266167968522,0.12556487172374617,0.9007601679588199,4.956947730798196,0.10117917750957497
57,1.006770175647152,3.761564352062166,0.035067205868971024,0.8065064068048153,4.6429885548297545,0.235109417662323,0.9221482033214257,4.77727460594273,0.0802411367982578
58,0.9963070266046848,3.785293503510838,0.012009685307300648,0.789409762568603,4.761446549150458,0.15021393965120303,0.9050515590852133,4.895732600263433,0.03983426513837723
59,0.977958310730396,3.7851796220123473,0.007871164057033482,0.7678617452067363,4.74399922702441,0.17793984704982305,0.8835035417233467,4.878285278137385,0.031867904259502644
60,0.9611561149514661,3.7534486030546597,0.04269188555048792,0.7294005011278145,4.645559179837709,0.2747864427533857,0.8450422976444248,4.779845230950684,0.09760562553246273
61,0.982546232134115,3.8060116062203635,0.017218595095356587,0.8935143360331161,4.7188313458958575,0.137669259917024,1.0091561325497265,4.853117397008833,0.10299413195357135
62,0.9561247292064043,3.7670325603813204,0.03614601384630514,0.7427050012298138,4.70391612828074,0.22323583781869982,0.8583467977464241,4.838202179393716,0.051026162025750194
63,1.0011923509790017,3.79896818407799,0.019153543440260247,0.7864418623262769,4.769995888595342,0.14739093243138693,0.9020836588428872,4.9042819397083175,0.048541893371801766
64,0.9703011972420108,3.7881898002604686,0.014586211138941797,0.8466031235521105,4.670831430529125,0.19444196046880788,0.9622449200687209,4.8051174816421005,0.07564000349589543
65,0.9889704373361445,3.769949192256148,0.0194389299417118,0.7992706093044543,4.683874321137873,0.20256320784750992,0.9149124058210646,4.818160372250849,0.03874674049232611
66,0.9869596956760687,3.7834337261986617,0.005899874416169015,0.8300653117935713,4.641184197623195,0.22782836204099532,0.9457071083101817,4.775470248736171,0.08962227679008436
67,0.9701286880052613,3.763741523986981,0.029201239717594515,0.8123366574704048,4.703910369729352,0.17864966373644553,0.9279784539870152,4.838196420842327,0.028075707213391657
68,0.9767830474964388,3.790307310198116,0.00819764023135785,0.7940345499431638,4.7389028557338415,0.16208918901650154,0.9096763464597741,4.873188906846817,0.017620343860764026
69,0.9539429359779698,3.768885197409471,0.036863773672899475,0.795206831230979,4.72117639072329,0.17456788844295576,0.9108486277475893,4.8554624418362655,0.004670594453553643
70,0.957196223369904,3.8066650353770544,0.03285603216824126,0.689786115285584,4.806986252758328,0.22187604961658988,0.8054279118021943,4.941272303871304,0.13206400435040702
71,0.9921279135817019,3.7709162613343685,0.019440567803494378,0.8098431171604142,4.732395197404608,0.15665811253480763,0.9254849136770246,4.866681248517583,0.022086699467669592
72,0.9851420592988662,3.791796048009902,0.002859048884379413,0.7573475550493753,4.728532546143392,0.19591659658046062,0.8729893515659857,4.862818597256368,0.03392061752603619
73,0.9823091186430195,3.7840604134656455,0.0055186740358722786,0.7608161774442523,4.714670061675771,0.20269819538178668,0.8764579739608627,4.848956112788747,0.030545257300089616
74,0.9693311679295414,3.787599040313253,0.015595049504837075,0.8056683820808758,4.735100684109996,0.15717086059522598,0.9213101785974861,4.869386735222972,0.02024371540759659
75,0.9668727691504083,3.7933914657647207,0.018534772762511482,0.8011633818809912,4.734594720865653,0.16047203950314895,0.9168051783976016,4.8688807719786285,0.016750636123233163
76,0.9933886131994859,3.802314280900916,0.015849498760986985,0.831143466474497,4.66408042867964,0.2059950124703903,0.9467852629911073,4.798366479792615,0.07042005045271112
77,1.0068624678413802,3.7753419725651725,0.025864248554558236,0.7903430794029692,4.7788873073530205,0.13912611219999174,0.9059848759195795,4.913173358465996,0.057258868965701044
78,0.9834631136493375,3.781411228036325,0.0076686826579839456,0.7685565651146582,4.7786328533574185,0.1578550883364933,0.8841983616312685,4.912918904470394,0.061102613236096094
79,0.9629296818814359,3.799785910729875,0.024468012279328807,0.7317674574801414,4.692644211701878,0.23892263907586914,0.8474092539967517,4.826930262814853,0.06554739230782869
