frame_seq,sample_timestamp_ns,tag_id,anchor_id,anchor_x_m,anchor_y_m,anchor_z_m,range_m,stddev_m
22,2392538995470,carla_uav_uwb_tag,A3,15.0,12.0,0.5,10.982079323527532,0.05
22,2392538995470,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,21.505392936779852,0.05
23,2392638995472,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,28.17753990248853,0.05
23,2392638995472,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.85284267868425,0.05
23,2392638995472,carla_uav_uwb_tag,A3,15.0,12.0,0.5,10.7359877028527,0.05
23,2392638995472,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,21.547563514452243,0.05
24,2392738995473,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,28.257043417277455,0.05
24,2392738995473,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.795675766049946,0.05
24,2392738995473,carla_uav_uwb_tag,A3,15.0,12.0,0.5,10.712913218231732,0.05
24,2392738995473,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,21.683850205233945,0.05
25,2392838995475,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,28.42786631570981,0.05
25,2392838995475,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.90005358769271,0.05
25,2392838995475,carla_uav_uwb_tag,A3,15.0,12.0,0.5,10.54878787585092,0.05
25,2392838995475,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,21.87470952725021,0.05
26,2392938995476,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,28.522818353203586,0.05
26,2392938995476,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.815191375201046,0.05
26,2392938995476,carla_uav_uwb_tag,A3,15.0,12.0,0.5,10.393874138957166,0.05
26,2392938995476,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,21.929101316956885,0.05
27,2393038995478,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,28.733340497697046,0.05
27,2393038995478,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.73027696097379,0.05
27,2393038995478,carla_uav_uwb_tag,A3,15.0,12.0,0.5,10.338997678678078,0.05
27,2393038995478,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,22.065629493600806,0.05
28,2393138995479,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,28.78254206668727,0.05
28,2393138995479,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.736310466006167,0.05
28,2393138995479,carla_uav_uwb_tag,A3,15.0,12.0,0.5,10.19791335177669,0.05
28,2393138995479,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,22.134418192201395,0.05
29,2393238995481,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,28.9438889125235,0.05
29,2393238995481,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.802449911144713,0.05
29,2393238995481,carla_uav_uwb_tag,A3,15.0,12.0,0.5,10.1525728687918,0.05
29,2393238995481,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,22.255512121836002,0.05
30,2393338995482,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,29.000140382466935,0.05
30,2393338995482,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.80383067163384,0.05
30,2393338995482,carla_uav_uwb_tag,A3,15.0,12.0,0.5,9.962835734986092,0.05
30,2393338995482,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,22.44142437069883,0.05
31,2393438995484,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,29.211159004279168,0.05
31,2393438995484,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.806977152368233,0.05
31,2393438995484,carla_uav_uwb_tag,A3,15.0,12.0,0.5,9.905555750233807,0.05
31,2393438995484,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,22.419371223675768,0.05
32,2393538995485,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,29.254537523701867,0.05
32,2393538995485,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.73779824896762,0.05
32,2393538995485,carla_uav_uwb_tag,A3,15.0,12.0,0.5,9.694649893842875,0.05
32,2393538995485,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,22.51468552399584,0.05
33,2393638995487,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,29.4344124606036,0.05
33,2393638995487,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.7687288316987,0.05
33,2393638995487,carla_uav_uwb_tag,A3,15.0,12.0,0.5,9.52357153675539,0.05
33,2393638995487,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,22.636778692914287,0.05
34,2393738995488,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,29.53342938248737,0.05
34,2393738995488,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.818172876075735,0.05
34,2393738995488,carla_uav_uwb_tag,A3,15.0,12.0,0.5,9.581182833036417,0.05
34,2393738995488,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,22.936563213597253,0.05
35,2393838995490,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,29.65257156162735,0.05
35,2393838995490,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.723889541785546,0.05
35,2393838995490,carla_uav_uwb_tag,A3,15.0,12.0,0.5,9.260207188564012,0.05
35,2393838995490,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,22.906879600014776,0.05
36,2393938995491,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,29.704240290001305,0.05
36,2393938995491,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.750380278349663,0.05
36,2393938995491,carla_uav_uwb_tag,A3,15.0,12.0,0.5,9.222960465265718,0.05
36,2393938995491,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,22.988306996705855,0.05
37,2394038995493,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,29.910167073084683,0.05
37,2394038995493,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.77743292397209,0.05
37,2394038995493,carla_uav_uwb_tag,A3,15.0,12.0,0.5,9.133673888515434,0.05
37,2394038995493,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,23.044652723467685,0.05
38,2394138995494,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,29.8840337081468,0.05
38,2394138995494,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.744338963466845,0.05
38,2394138995494,carla_uav_uwb_tag,A3,15.0,12.0,0.5,9.028267000338186,0.05
38,2394138995494,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,23.28511932294987,0.05
39,2394238995496,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,30.084094624042628,0.05
39,2394238995496,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.817480990099064,0.05
39,2394238995496,carla_uav_uwb_tag,A3,15.0,12.0,0.5,8.896656200368955,0.05
39,2394238995496,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,23.236954843818058,0.05
40,2394338995497,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,30.138014485181028,0.05
40,2394338995497,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.732383580486754,0.05
40,2394338995497,carla_uav_uwb_tag,A3,15.0,12.0,0.5,8.920061517951641,0.05
40,2394338995497,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,23.353751211881978,0.05
41,2394438995499,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,30.33579194488046,0.05
41,2394438995499,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.724372689280727,0.05
41,2394438995499,carla_uav_uwb_tag,A3,15.0,12.0,0.5,8.753550783546599,0.05
41,2394438995499,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,23.51186366113858,0.05
42,2394538995500,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,30.392453567973977,0.05
42,2394538995500,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.76893843639261,0.05
42,2394538995500,carla_uav_uwb_tag,A3,15.0,12.0,0.5,8.568973206025307,0.05
42,2394538995500,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,23.611781479401856,0.05
43,2394638995502,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,30.48282974014898,0.05
43,2394638995502,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.711689113066388,0.05
43,2394638995502,carla_uav_uwb_tag,A3,15.0,12.0,0.5,8.433902736853883,0.05
43,2394638995502,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,23.694103221484834,0.05
44,2394738995503,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,30.688642326732566,0.05
44,2394738995503,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.783501550300443,0.05
44,2394738995503,carla_uav_uwb_tag,A3,15.0,12.0,0.5,8.38936257664277,0.05
44,2394738995503,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,23.794813509828167,0.05
45,2394838995505,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,30.777907572862468,0.05
45,2394838995505,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.789518791026037,0.05
45,2394838995505,carla_uav_uwb_tag,A3,15.0,12.0,0.5,8.273652729141022,0.05
45,2394838995505,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,23.929931348945722,0.05
46,2394938995506,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,30.835772684825532,0.05
46,2394938995506,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.858877672530454,0.05
46,2394938995506,carla_uav_uwb_tag,A3,15.0,12.0,0.5,8.203675990429609,0.05
46,2394938995506,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,23.906528233014928,0.05
47,2395038995508,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,30.846458758013778,0.05
47,2395038995508,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.868646595666355,0.05
47,2395038995508,carla_uav_uwb_tag,A3,15.0,12.0,0.5,8.182423992981807,0.05
47,2395038995508,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,24.050944478600407,0.05
48,2395138995509,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,30.994990194945707,0.05
48,2395138995509,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.863643614068387,0.05
48,2395138995509,carla_uav_uwb_tag,A3,15.0,12.0,0.5,7.944077465107738,0.05
48,2395138995509,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,24.106321927144844,0.05
49,2395238995511,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,31.14433856210038,0.05
49,2395238995511,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.77576028733401,0.05
49,2395238995511,carla_uav_uwb_tag,A3,15.0,12.0,0.5,7.903834344409783,0.05
49,2395238995511,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,24.23297118560141,0.05
50,2395338995512,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,31.225832429535686,0.05
50,2395338995512,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.871198221448473,0.05
50,2395338995512,carla_uav_uwb_tag,A3,15.0,12.0,0.5,7.814728885920798,0.05
50,2395338995512,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,24.362397251475507,0.05
51,2395438995514,carla_uav_uwb_tag,A1,-15.0,-12.0,0.5,31.20196946748396,0.05
51,2395438995514,carla_uav_uwb_tag,A2,15.0,-12.0,4.5,20.804116632329837,0.05
51,2395438995514,carla_uav_uwb_tag,A3,15.0,12.0,0.5,7.675608586944698,0.05
51,2395438995514,carla_uav_uwb_tag,A4,-15.0,12.0,4.5,24.35726838916323,0.05
